userId,movieId,rating
1001,266,4.5
1001,99114,4.5
1001,2002,2.0
1001,440,2.0
1001,80463,1.0
1002,76093,4.0
1002,2078,4.0
1002,106782,3.0
1002,45722,2.5
1002,553,3.0
1003,3897,4.5
1003,150,5.0
1003,8644,2.5
1003,45722,2.5
1003,653,2.5
1004,923,5.0
1004,903,4.0
1004,2000,3.0
1004,2028,2.5
1004,349,1.0
1005,1729,5.0
1005,185,4.5
1005,2572,1.0
1005,300,3.0
1005,2005,2.5
1006,590,4.0
1006,553,4.0
1006,4018,3.0
1006,5952,1.0
1006,2797,2.5
1007,2987,4.0
1007,1282,4.5
1007,5952,2.0
1007,442,2.0
1007,1500,1.0
1008,77561,4.0
1008,6934,4.0
1008,6942,2.5
1008,5481,2.5
1008,595,2.5
1009,1028,4.5
1009,1197,5.0
1009,6711,2.0
1009,4963,2.0
1009,3481,3.0
1010,44191,5.0
1010,33794,4.5
1010,163,2.5
1010,1247,3.0
1010,1127,2.5
